:ID(RemovalEvent),RMV_TRK_NO,RMV_REA_TX,component_id,aircraft_id,removal_date,work_order_number,technician_id,part_number,serial_number,time_since_install,flight_hours_at_removal,flight_cycles_at_removal,replacement_required,shop_visit_required,warranty_status,removal_location,scheduled_maintenance,removal_priority,cost_estimate,supplier_code,installation_date
RE0023,RMV24100023,Igniters electrode erosion excessive,AC1003-S01-C05,AC1003,2024-10-05T16:10:00,WO2024-10-023,TECH004,P34567-023,SN789345,1845,5400,825,true,false,IN_WARRANTY,ORD,false,LOW,3200,SUP004,2024-04-20T08:15:00
RE0024,RMV24100024,Bleed air valve actuator failure,AC1004-S02-C03,AC1004,2024-10-07T08:50:00,WO2024-10-024,TECH008,P89012-024,SN456789,3234,9100,1400,true,true,OUT_WARRANTY,DFW,false,MEDIUM,12500,SUP008,2023-11-22T13:40:00
RE0025,RMV24100025,Starter motor brush wear limit reached,AC1005-S03-C01,AC1005,2024-10-09T13:15:00,WO2024-10-025,TECH003,P45678-025,SN012456,4567,12800,1970,true,false,IN_WARRANTY,ATL,false,LOW,6800,SUP003,2023-07-15T15:20:00
RE0026,RMV24100026,Fuel control unit drift detected,AC1006-S01-C04,AC1006,2024-10-11T11:00:00,WO2024-10-026,TECH011,P90123-026,SN678123,2156,6500,995,true,true,OUT_WARRANTY,LAX,false,HIGH,18000,SUP011,2024-03-05T09:50:00
RE0027,RMV24100027,Compressor discharge pressure sensor fault,AC1007-S02-C05,AC1007,2024-10-13T15:30:00,WO2024-10-027,TECH005,P56789-027,SN234890,1234,3700,565,true,false,IN_WARRANTY,MIA,false,MEDIUM,7500,SUP005,2024-07-08T12:35:00
RE0028,RMV24100028,Engine fire detection loop chafing,AC1008-S04-C04,AC1008,2024-10-15T09:45:00,WO2024-10-028,TECH006,P12345-028,SN890567,3456,9800,1505,true,false,OUT_WARRANTY,SEA,false,HIGH,5600,SUP006,2023-12-18T16:00:00
RE0029,RMV24100029,Variable stator vane actuator binding,AC1009-S01-C02,AC1009,2024-10-17T14:20:00,WO2024-10-029,TECH009,P67890-029,SN456123,4123,11300,1745,true,true,IN_WARRANTY,DEN,false,MEDIUM,13500,SUP009,2023-09-30T10:25:00
RE0030,RMV24100030,Oil scavenge pump impeller damage,AC1010-S02-C01,AC1010,2024-10-19T12:10:00,WO2024-10-030,TECH001,P23456-030,SN789890,2789,7800,1200,true,true,OUT_WARRANTY,PHX,false,HIGH,9200,SUP001,2024-01-12T14:45:00
RE0031,RMV24100031,Power turbine blade coating loss,AC1011-S03-C03,AC1011,2024-10-21T10:25:00,WO2024-10-031,TECH007,P78901-031,SN345567,5678,15800,2430,true,true,IN_WARRANTY,BOS,false,CRITICAL,42000,SUP007,2022-08-14T11:15:00
RE0032,RMV24100032,Fuel manifold pressure drop excessive,AC1012-S01-C04,AC1012,2024-10-23T16:40:00,WO2024-10-032,TECH012,P34567-032,SN901678,3234,9000,1385,true,true,OUT_WARRANTY,IAH,false,MEDIUM,10800,SUP012,2023-10-28T08:30:00
RE0033,RMV24110033,Combustor case thermal bowing,AC1013-S02-C02,AC1013,2024-11-01T13:55:00,WO2024-11-033,TECH002,P89012-033,SN567234,4567,12900,1985,true,true,IN_WARRANTY,LAS,false,CRITICAL,35000,SUP002,2023-06-10T15:50:00
RE0034,RMV24110034,Accessory drive shaft vibration high,AC1014-S04-C05,AC1014,2024-11-03T11:30:00,WO2024-11-034,TECH004,P45678-034,SN123901,2345,6800,1045,true,true,OUT_WARRANTY,MSP,false,MEDIUM,14500,SUP004,2024-04-02T12:20:00
RE0035,RMV24110035,Engine oil temperature sensor drift,AC1015-S03-C01,AC1015,2024-11-05T08:15:00,WO2024-11-035,TECH010,P90123-035,SN789456,1567,4600,705,true,false,IN_WARRANTY,DTW,false,LOW,2800,SUP010,2024-06-18T10:40:00
RE0036,RMV24110036,Thrust bearing wear indicators triggered,AC1016-S01-C05,AC1016,2024-11-07T14:50:00,WO2024-11-036,TECH003,P56789-036,SN345234,6789,18200,2805,true,true,OUT_WARRANTY,CLT,false,CRITICAL,25000,SUP003,2022-03-25T09:05:00
RE0037,RMV24110037,Fuel pump bypass valve stuck closed,AC1017-S02-C04,AC1017,2024-11-09T12:05:00,WO2024-11-037,TECH008,P12345-037,SN901567,2456,7100,1090,true,true,IN_WARRANTY,PDX,false,HIGH,16000,SUP008,2024-02-22T16:15:00
RE0038,RMV24110038,Compressor inlet guide vane seizure,AC1018-S01-C02,AC1018,2024-11-11T15:20:00,WO2024-11-038,TECH011,P67890-038,SN567890,3678,10200,1570,true,true,OUT_WARRANTY,SLC,false,HIGH,21000,SUP011,2023-08-07T13:25:00
RE0039,RMV24110039,Engine bleed air duct cracking,AC1019-S03-C04,AC1019,2024-11-13T09:35:00,WO2024-11-039,TECH005,P23456-039,SN234123,4234,11800,1815,true,false,IN_WARRANTY,PHL,false,MEDIUM,8900,SUP005,2023-11-05T14:50:00
RE0040,RMV24110040,Oil cooler fan blade imbalance,AC1020-S04-C01,AC1020,2024-11-15T11:45:00,WO2024-11-040,TECH006,P78901-040,SN678456,1890,5500,845,true,false,OUT_WARRANTY,TPA,false,LOW,4500,SUP006,2024-05-30T11:10:00
RE0041,RMV24110041,Gearbox magnetic chip detector activation,AC1001-S02-C03,AC1001,2024-11-17T16:30:00,WO2024-11-041,TECH009,P34567-041,SN012789,2567,7400,1135,true,true,IN_WARRANTY,LAX,false,MEDIUM,12000,SUP009,2024-03-18T08:55:00
RE0042,RMV24110042,Fuel injector spray pattern degraded,AC1002-S01-C04,AC1002,2024-11-19T14:10:00,WO2024-11-042,TECH007,P89012-042,SN456234,3456,9600,1475,true,true,OUT_WARRANTY,JFK,false,HIGH,11500,SUP007,2023-09-12T12:30:00
RE0043,RMV24110043,Anti-ice valve actuator motor failure,AC1003-S04-C05,AC1003,2024-11-21T10:25:00,WO2024-11-043,TECH001,P45678-043,SN890123,4123,11200,1725,true,false,IN_WARRANTY,ORD,false,MEDIUM,7800,SUP001,2023-07-28T15:40:00
RE0044,RMV24110044,Engine mount shock strut leakage,AC1004-S03-C02,AC1004,2024-11-23T13:40:00,WO2024-11-044,TECH012,P90123-044,SN567123,5234,14300,2205,true,false,OUT_WARRANTY,DFW,false,LOW,6200,SUP012,2022-12-10T10:25:00
RE0045,RMV24110045,Turbine clearance control valve failure,AC1005-S01-C03,AC1005,2024-11-25T08:55:00,WO2024-11-045,TECH002,P56789-045,SN234567,2890,8100,1245,true,true,IN_WARRANTY,ATL,false,HIGH,19500,SUP002,2024-01-15T13:15:00
RE0046,RMV24120046,Main fuel filter differential pressure high,AC1006-S03-C04,AC1006,2024-12-01T15:15:00,WO2024-12-046,TECH004,P12345-046,SN901234,1678,4900,750,true,false,OUT_WARRANTY,LAX,false,LOW,3800,SUP004,2024-07-22T09:30:00
RE0047,RMV24120047,Speed sensor signal intermittent,AC1007-S01-C05,AC1007,2024-12-03T12:30:00,WO2024-12-047,TECH010,P67890-047,SN345890,2234,6400,985,true,false,IN_WARRANTY,MIA,false,MEDIUM,5600,SUP010,2024-04-08T11:45:00
RE0048,RMV24120048,Combustor drain valve stuck open,AC1008-S02-C02,AC1008,2024-12-05T09:45:00,WO2024-12-048,TECH003,P23456-048,SN789567,3567,9900,1520,true,true,OUT_WARRANTY,SEA,false,MEDIUM,8700,SUP003,2023-10-15T14:20:00
RE0049,RMV24120049,Starter cutout switch malfunction,AC1009-S04-C01,AC1009,2024-12-07T14:00:00,WO2024-12-049,TECH008,P78901-049,SN456123,4456,12100,1865,true,false,IN_WARRANTY,DEN,false,LOW,4200,SUP008,2023-08-20T16:35:00
RE0050,RMV24120050,Oil pressure regulating valve drift,AC1010-S01-C04,AC1010,2024-12-09T11:20:00,WO2024-12-050,TECH005,P34567-050,SN123678,1234,3600,550,true,true,OUT_WARRANTY,PHX,false,MEDIUM,9800,SUP005,2024-08-05T12:50:00
RE0051,RMV24120051,Compressor case drain leak,AC1011-S02-C01,AC1011,2024-12-11T16:35:00,WO2024-12-051,TECH011,P89012-051,SN567234,2789,7700,1185,true,false,IN_WARRANTY,BOS,false,LOW,5400,SUP011,2024-05-12T10:15:00
RE0052,RMV24120052,Engine fire extinguisher discharge valve leak,AC1012-S04-C03,AC1012,2024-12-13T13:50:00,WO2024-12-052,TECH006,P45678-052,SN890567,3890,10700,1645,true,false,OUT_WARRANTY,IAH,false,HIGH,7200,SUP006,2023-11-30T15:25:00
RE0053,RMV24120053,Variable geometry actuator position error,AC1013-S01-C02,AC1013,2024-12-15T10:10:00,WO2024-12-053,TECH009,P90123-053,SN234890,4567,12600,1940,true,true,IN_WARRANTY,LAS,false,MEDIUM,15500,SUP009,2023-06-25T08:40:00
RE0054,RMV24120054,Bearing lubrication system blockage,AC1014-S03-C05,AC1014,2024-12-17T15:25:00,WO2024-12-054,TECH007,P56789-054,SN678123,5123,14000,2160,true,true,OUT_WARRANTY,MSP,false,HIGH,18000,SUP007,2022-10-18T12:05:00
RE0055,RMV24120055,Fuel metering unit calibration drift,AC1015-S02-C04,AC1015,2024-12-19T12:40:00,WO2024-12-055,TECH001,P12345-055,SN345456,2456,7000,1075,true,true,IN_WARRANTY,DTW,false,MEDIUM,13000,SUP001,2024-03-28T14:30:00
RE0056,RMV24120056,Compressor wash valve actuator stuck,AC1016-S04-C02,AC1016,2024-12-21T08:15:00,WO2024-12-056,TECH012,P67890-056,SN901789,1789,5200,795,true,false,OUT_WARRANTY,CLT,false,LOW,4800,SUP012,2024-06-15T16:45:00
RE0057,RMV24120057,Thrust reverser position feedback fault,AC1017-S01-C03,AC1017,2024-12-23T14:30:00,WO2024-12-057,TECH002,P23456-057,SN567012,3234,8900,1370,true,true,IN_WARRANTY,PDX,false,HIGH,22000,SUP002,2023-12-08T11:20:00
RE0058,RMV24120058,Oil tank quantity sensor erratic,AC1018-S03-C01,AC1018,2024-12-25T11:55:00,WO2024-12-058,TECH004,P78901-058,SN123890,4789,13200,2030,true,false,OUT_WARRANTY,SLC,false,LOW,3600,SUP004,2022-11-12T09:35:00
RE0059,RMV24120059,Engine bleed air temperature sensor fault,AC1019-S02-C05,AC1019,2024-12-27T16:10:00,WO2024-12-059,TECH010,P34567-059,SN789345,2567,7300,1120,true,false,IN_WARRANTY,PHL,false,MEDIUM,6800,SUP010,2024-04-30T13:50:00
RE0060,RMV24120060,Accessory gearbox input shaft wear,AC1020-S04-C04,AC1020,2024-12-29T13:25:00,WO2024-12-060,TECH003,P89012-060,SN456789,5456,15000,2310,true,true,OUT_WARRANTY,TPA,false,CRITICAL,28000,SUP003,2022-07-05T15:10:00
