id,name,category,subcategory,riskScore
SUP-045,Meridian Freight,logistics,freight,52
SUP-046,Hollow Labels,packaging,labels,50
SUP-047,Delta Freight,logistics,freight,46
SUP-048,Onyx Malt Supply,ingredients,malt,21
SUP-049,Coral Glass Furnaces,packaging,raw glass,32
SUP-050,Poplar Flavor Co,ingredients,flavorings,10
SUP-051,Elm Freight,logistics,freight,26
SUP-052,Thistle Freight,logistics,freight,37
SUP-053,Jasper Malt Supply,ingredients,malt,27
SUP-054,Ember Consulting,services,consulting,25
SUP-055,Ash Maintenance,services,maintenance,22
SUP-056,Sable Warehousing,logistics,warehousing,54
SUP-057,Meridian Sugar Co,ingredients,sugar,36
SUP-058,Willow Freight,logistics,freight,28
SUP-059,Meridian Cooling Systems,equipment,cooling systems,61
SUP-060,Bramble Freight,logistics,freight,76
SUP-061,Umber Maintenance,services,maintenance,32
SUP-062,Poplar Consulting,services,consulting,40
SUP-063,Wren Warehousing,logistics,warehousing,26
SUP-064,Hollow Glass Co,packaging,glass bottles,70
SUP-065,Fjord Maintenance,services,maintenance,52
SUP-066,Zephyr Hops Co,ingredients,hops,56
SUP-067,Yarrow Freight,logistics,freight,59
SUP-068,Cobalt Consulting,services,consulting,47
SUP-069,Glacier Closures,packaging,caps,22
SUP-070,Granite Closures,packaging,caps,36
SUP-071,Cobalt Glass Co,packaging,glass bottles,76
SUP-072,Hollow Warehousing,logistics,warehousing,14
SUP-073,Quartz Freight,logistics,freight,33
SUP-074,Wren Sugar Co,ingredients,sugar,33
SUP-075,Delta Malt Supply,ingredients,malt,20
SUP-076,Kelvin Cooling Systems,equipment,cooling systems,42
SUP-077,Ember Labels,packaging,labels,47
SUP-078,Basalt Cooling Systems,equipment,cooling systems,50
SUP-079,Grove Brewing Systems,equipment,brewing equipment,46
SUP-080,Iris Consulting,services,consulting,28
SUP-081,Elm Brewing Systems,equipment,brewing equipment,18
SUP-082,Glacier Freight,logistics,freight,36
SUP-083,Moss Freight,logistics,freight,22
SUP-084,Terra Freight,logistics,freight,40
SUP-085,Elm Glass Co,packaging,glass bottles,51
SUP-086,Dune Sugar Co,ingredients,sugar,55
SUP-087,Cedar Maintenance,services,maintenance,76
SUP-088,Orchid Flavor Co,ingredients,flavorings,61
SUP-089,Sable Glass Furnaces,packaging,raw glass,43
SUP-090,Indigo Glass Co,packaging,glass bottles,24
SUP-091,Granite Freight,logistics,freight,30
SUP-092,Maple Cooling Systems,equipment,cooling systems,62
SUP-093,Pinnacle Warehousing,logistics,warehousing,32
SUP-094,Thistle Malt Supply,ingredients,malt,40
SUP-095,Quartz Maintenance,services,maintenance,28
SUP-096,Vale Sugar Co,ingredients,sugar,10
SUP-097,Larch Brewing Systems,equipment,brewing equipment,35
SUP-098,Cinder Maintenance,services,maintenance,31
SUP-099,Alder Malt Supply,ingredients,malt,31
SUP-100,Coral Closures,packaging,caps,23
SUP-101,Vector Brewing Systems,equipment,brewing equipment,36
SUP-102,Reed Cooling Systems,equipment,cooling systems,46
SUP-103,Alder Freight,logistics,freight,60
SUP-104,Vale Maintenance,services,maintenance,30
SUP-105,Fjord Warehousing,logistics,warehousing,39
SUP-106,Thistle Labels,packaging,labels,19
SUP-107,Granite Warehousing,logistics,warehousing,45
SUP-108,Pinnacle Freight,logistics,freight,34
SUP-109,Larch Consulting,services,consulting,28
SUP-110,Yarrow Malt Supply,ingredients,malt,63
SUP-111,Juniper Warehousing,logistics,warehousing,54
SUP-112,Terra Glass Furnaces,packaging,raw glass,21
SUP-113,Grove Cooling Systems,equipment,cooling systems,50
SUP-114,Thistle Brewing Systems,equipment,brewing equipment,45
SUP-115,Jasper Freight,logistics,freight,40
SUP-116,Birch Hops Co,ingredients,hops,26
SUP-117,Ash Brewing Systems,equipment,brewing equipment,29
SUP-118,Northwind Canning,packaging,cans,26
SUP-119,Quill Flavor Co,ingredients,flavorings,23
SUP-120,Linden Brewing Systems,equipment,brewing equipment,58
SUP-121,Orchid Glass Furnaces,packaging,raw glass,34
SUP-122,Ember Freight,logistics,freight,24
SUP-123,Bramble Cooling Systems,equipment,cooling systems,51
SUP-124,Drift Warehousing,logistics,warehousing,48
SUP-125,Frost Brewing Systems,equipment,brewing equipment,70
SUP-126,Yarrow Maintenance,services,maintenance,25
SUP-127,Glacier Brewing Systems,equipment,brewing equipment,27
SUP-128,Wren Consulting,services,consulting,25
SUP-129,Delta Consulting,services,consulting,35
SUP-130,Cobalt Maintenance,services,maintenance,41
SUP-131,Iris Warehousing,logistics,warehousing,61
SUP-132,Tidal Cooling Systems,equipment,cooling systems,18
SUP-133,Moss Closures,packaging,caps,41
SUP-134,Hollow Glass Furnaces,packaging,raw glass,56
SUP-135,Yarrow Brewing Systems,equipment,brewing equipment,40
SUP-136,Juniper Freight,logistics,freight,20
SUP-137,Vale Cooling Systems,equipment,cooling systems,39
SUP-138,Juniper Sugar Co,ingredients,sugar,36
SUP-139,Quill Warehousing,logistics,warehousing,46
SUP-140,Thistle Hops Co,ingredients,hops,27
SUP-141,Dune Warehousing,logistics,warehousing,37
SUP-142,Basalt Warehousing,logistics,warehousing,56
SUP-143,Umber Hops Co,ingredients,hops,43
SUP-144,Grove Labels,packaging,labels,46
SUP-145,Indigo Maintenance,services,maintenance,21
SUP-146,Northwind Consulting,services,consulting,22
SUP-147,Glacier Warehousing,logistics,warehousing,27
SUP-148,Quartz Consulting,services,consulting,29
SUP-149,Onyx Canning,packaging,cans,21
SUP-150,Fern Glass Co,packaging,glass bottles,44
SUP-901,Cascade Glassworks,packaging,raw glass,60
SUP-902,Harbor Bottling Supply,packaging,glass bottles,39
SUP-903,Summit Glass Packaging,packaging,glass bottles,21
SUP-904,Ironbridge Containers,packaging,glass bottles,32
SUP-905,Clearwater Bottles,packaging,glass bottles,16
SUP-906,Aurora Packaging Co,packaging,glass bottles,18
SUP-907,Fairview Container Works,packaging,container glass,43
SUP-908,Oakline Container Works,packaging,container glass,49
SUP-909,Brackwater Container Works,packaging,container glass,52
SUP-910,Redstone Glassworks,packaging,raw glass,45
SUP-911,Pinehurst Glassworks,packaging,raw glass,60
SUP-912,Calder Glassworks,packaging,raw glass,27
SUP-913,Thornbury Glassworks,packaging,raw glass,63
SUP-914,Halden Cullet Recovery,packaging,cullet,21
SUP-915,Westmoor Cullet Recovery,packaging,cullet,35
SUP-916,Kelbrook Silica,packaging,silica sand,43
SUP-917,Ardenne Silica,packaging,silica sand,51
SUP-918,Ravensmoor Soda Ash,packaging,soda ash,58
SUP-919,Lowfield Soda Ash,packaging,soda ash,48
